EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
63642,ST. BERNARD PAR.,CHALMETTE,10/22/2007,1000,Heavy Rain, , ,0,0,0,0,LA,CST-6, ,11334,C,87,LIX,0,0,Newspaper, , , ,0,N,1,NNW,ARABI,29.93,-89.97,29.9645,-90.0082,Widespread heavy rain of 4 to 7 inches caused widespread street flooding.,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,11
63644,ST. JOHN THE BAPTIST PAR.,LIONS,10/22/2007,1000,Heavy Rain, , ,0,0,0,0,LA,CST-6, ,11334,C,95,LIX,0,0,Newspaper, , , ,2,NNW,0,NNE,LA PLACE,30.0762,-90.6097,30.0715,-90.4793,Heavy rainfall of 4 to 7 inches caused widespread street flooding.,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,12
63643,PLAQUEMINES PAR.,(NBG)NAS NEW ORLEANS,10/22/2007,1000,Heavy Rain, , ,0,0,0,0,LA,CST-6, ,11334,C,75,LIX,0,0,Newspaper, , , ,1,WNW,1,NNW,EMPIRE,29.8264,-90.0137,29.3918,-89.6045,Heavy rain of 4 to 7 inches caused widespread street flooding.,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,13
62294,ST. CHARLES PAR.,GYPSY,10/22/2007,1115,Flash Flood, , ,0,0,0,0,LA,CST-6, ,11334,C,89,LIX,0,0,Emergency Manager,Heavy Rain, , ,2,NE,2,ENE,GOOD HOPE,30.037,-90.4436,30.0097,-90.3516,The parish emergency management office reported at least 10 homes were flooded.,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,14
62292,ORLEANS PAR.,VIEUX CARRE,10/22/2007,1115,Flash Flood, , ,0,0,0,0,LA,CST-6, ,11334,C,71,LIX,0,0,Official NWS Observations,Heavy Rain, , ,4,NNW,1,NW,GENTILLY,30.0144,-90.1112,30.0287,-90.0446,,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,15
62293,JEFFERSON PAR.,WEST BRIDGE JCT,10/22/2007,1115,Flash Flood, , ,0,0,0,0,LA,CST-6, ,11334,C,51,LIX,0,0,Emergency Manager,Heavy Rain, , ,2,SSW,2,N,(MSY)MOISANT FLD NEW,29.8811,-90.2335,30.0358,-90.2472,,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,16
62300,ST. TAMMANY PAR.,HOULTONVILLE,10/22/2007,1700,Flash Flood, , ,0,0,0,0,LA,CST-6, ,11334,C,103,LIX,0,0,Law Enforcement,Heavy Rain, , ,2,ESE,5,N,BLOND,30.3871,-90.1428,30.6686,-90.1236,,Widespread heavy rain fell across across extreme southeast Louisiana in advance of a deep upper level low pressure system and a strong cold front. Rainfall amounts ranging from three to eight inches were common in an area extending from Terrebonne and Lafourche Parishes northeast across the new orleans metro area to St. Tammany Parish. Street flooding was widespread and a number of vehicles and a few homes and businesses were flooded. The worst flooding occurred in Orleans Parish and northern sections of Jefferson Parish. Waist deep water was reported on some streets in New Orleans.,17
96031,ORLEANS PAR.,ALGIERS,04/26/2008,300,Flash Flood, , ,0,0,0,0,LA,CST-6, ,16650,C,71,LIX,0,0,Newspaper,Heavy Rain, , ,0,N,0,W,ALGIERS,29.95,-90.05,29.95,-90.0542,"Heavy rainfall amounts of up to 8 inches caused the flooding of numerous streets, several vehicles, and a few homes in the Algiers area.",Scattered slow moving thunderstorms that developed in a very moist and unstable airmass produced locally heavy rainfall.,18
96033,JEFFERSON PAR.,MARRERO,04/26/2008,1500,Flash Flood, , ,0,0,0,0,LA,CST-6, ,16650,C,51,LIX,0,0,Newspaper,Heavy Rain, , ,0,N,0,E,ESTELLE,29.9,-90.1,29.85,-90.1,"Heavy rainfall amounts of up to 8 inches caused the flooding of numerous streets, several vehicles, and a few homes across sections of the westbank including the Marrero, Harvey, and Terrytown areas.",Scattered slow moving thunderstorms that developed in a very moist and unstable airmass produced locally heavy rainfall.,19
105237,ST. TAMMANY PAR.,FOLSOM,05-02-2008,1800,Flash Flood, , ,0,0,0,0,LA,CST-6, ,17959,C,103,LIX,0,0,Newspaper,Heavy Rain, , ,3,N,3,W,FOLSOM,30.6734,-90.2,30.63,-90.2505,Several roads were flooded in the Folsom area when 6 to 10 inches of rain fell across the area.,Strong to severe thunderstorms developed and moved across southeast Louisiana as a couple of strong upper level disturbances and a cold front moved across the area.,20
100807,ST. TAMMANY PAR.,MANDEVILLE,05/14/2008,1800,Heavy Rain, , ,0,0,0,0,LA,CST-6, ,17435,C,103,LIX,0,0,Public, , , ,0,N,0,N,MANDEVILLE,30.37,-90.08,30.37,-90.08,Widespread street flooding resulted from four to four and a half inches of rain that fell in about an hour.  A few homes experienced minor flooding in the Woodstone and Tanglewood subdivisions.,Widespread heavy rainfall and strong to severe thunderstorms affected much of southeast Louisiana over a two day period. The adverse weather was the result of a series of strong upper level disturbances moving across the lower Mississippi Valley in advance of a strong and slow southward moving cold front.,21
102360,ST. CHARLES PAR.,DES ALLEMANDS,05/22/2008,1520,Flash Flood, , ,0,0,0,0,LA,CST-6, ,17702,C,89,LIX,0,0,Emergency Manager,Heavy Rain, , ,2,W,2,S,DES ALLEMANDS,29.83,-90.5034,29.8011,-90.47,Heavy rainfall flooded 5 homes.,Isolated strong to severe thunderstorms that produced heavy rain developed in a moist and unstable atmosphere as an upper level disturbance moved across the Gulf Coast region.,22
120500,JEFFERSON PAR.,JEFFERSON,06/15/2008,830,Flash Flood, , ,0,0,0,0,LA,CST-6, ,20197,C,51,LIX,0,0,Emergency Manager,Heavy Rain, , ,0,N,0,NE,TERRYTOWN,29.97,-90.15,29.88,-90.07,Heavy rainfall of 4 to 6 inches from a thunderstorm resulted in widespread street flooding and the closing of some roadways. Numerous vehicles were flooded. At least 34 residences reported some damage from the flooding.,Scattered strong thunderstorms produced locally heavy rainfall.,23
120505,ORLEANS PAR.,ALGIERS,06/15/2008,830,Flash Flood, , ,0,0,0,0,LA,CST-6, ,20197,C,71,LIX,0,0,Emergency Manager,Heavy Rain, , ,0,N,4,S,VIEUX CARRE,29.95,-90.05,29.9193,-90.08,Heavy rainfall of 4 to 5 inches from a thunderstorm resulted in significant street flooding and made some roadways impassable. Numerous vehicles received flood damage. A few businesses took on water.,Scattered strong thunderstorms produced locally heavy rainfall.,24
120491,ST. CHARLES PAR.,DESTREHAN,06/17/2008,1530,Flash Flood, , ,0,0,0,0,LA,CST-6, ,20193,C,89,LIX,0,0,Emergency Manager,Heavy Rain, , ,0,N,1,S,NORCO,29.97,-90.38,29.9855,-90.42,"Significant street flooding was observed in Destrehan, Montz and Norco. A protion of Ormond Boulevard was closed due to high water.",Isolated strong to severe thunderstorms developed over southeast Louisiana.,25
120626,ORLEANS PAR.,VIEUX CARRE,06/29/2008,1600,Flood, , ,0,0,0,0,LA,CST-6, ,20221,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,3,NW,3,NW,VIEUX CARRE,29.9993,-90.1097,29.9975,-90.1175,A thunderstorm producing heavy rain flooded Interstate 10 at the Interstate 610 split with up to one foot of water.,Scattered strong and isolated severe thunderstorms developed in an unstable atmosphere in advance of an approaching weak cold front.,26
134204,LOWER PLAQUEMINES (ZONE), ,08-03-2008,1600,Tropical Storm, , ,0,0,0,0,LA,CST-6, ,22881,Z,69,LIX,0,0,Official NWS Observations, , , , , , , , , , , , ,"Tropical Storm Edouard formed over the north central Gulf of Mexico on the afternoon of August 3rd. Edouard moved east northeast offshore the south Louisiana coastline before making landfall on the upper Texas Coast on Tuesday August 5th. The affect on the southeast Louisiana were minimal and confined to the coastal areas west of the Mississippi River. Tropical storm force winds, primarily in gusts, occurred along the coast. Tides were generally 1 to 3 feet above normal with a few low lying roadways having minor flooding. Lowest pressure recorded was 1009.2 mb at the LUMCON facility at Cocodrie. Maximum sustained winds at the LUMCON-Tambour Bay site were 34 knots and a peak wind of 38 knots. At the LUMCON-Cocodrie facility a wind gust of 34 knots was observed.  A maximum storm tide of 3.2 feet NAVD88 was observed at the LUMCON Cocodrie site. Storm total rainfall was less than an inch. Maximum storm total rainfall was 0.86 inches at the LSU Ag Station near Houma.","Tropical Storm Edouard formed over the north central Gulf of Mexico on the afternoon of August 3rd. Edouard moved east northeast offshore the south Louisiana coastline before making landfall on the upper Texas Coast on Tuesday August 5th. The affect on the southeast Louisiana were minimal and confined to the coastal areas west of the Mississippi River. Tropical storm force winds, primarily in gusts, occurred along the coast. Tides were generally 1 to 3 feet above normal with a few low lying roadways having minor flooding. Lowest pressure recorded was 1009.2 mb at the LUMCON facility at Cocodrie. Maximum sustained winds at the LUMCON-Tambour Bay site were 34 knots and a peak wind of 38 knots. At the LUMCON-Cocodrie facility a wind gust of 34 knots was observed.  A maximum storm tide of 3.2 feet NAVD88 was observed at the LUMCON Cocodrie site. Storm total rainfall was less than an inch. Maximum storm total rainfall was 0.86 inches at the LSU Ag Station near Houma.||A 34 year old man was lost overboard and presumed dead when he apparently fell off of a commercial shrimp boat in rough seas about two miles south of the Southwest Pass during the evening of August 3rd.",27
134207,LOWER JEFFERSON (ZONE), ,08-03-2008,1600,Storm Surge/Tide, , ,0,0,0,0,LA,CST-6, ,22881,Z,68,LIX,0,0,Official NWS Observations, , , , , , , , , , , , ,Storm surge of 1 to 3 feet above normal was experienced along the southeast Louisiana coast as Tropical Storm Edouard moved across the northern Gulf of Mexico. Minimal impact was felt along the coast with only minor flooding of a few coastal roadways. Maximum storm tide was 3.2 feet recorded at the LUMCON-Cocodrie facility.,"Tropical Storm Edouard formed over the north central Gulf of Mexico on the afternoon of August 3rd. Edouard moved east northeast offshore the south Louisiana coastline before making landfall on the upper Texas Coast on Tuesday August 5th. The affect on the southeast Louisiana were minimal and confined to the coastal areas west of the Mississippi River. Tropical storm force winds, primarily in gusts, occurred along the coast. Tides were generally 1 to 3 feet above normal with a few low lying roadways having minor flooding. Lowest pressure recorded was 1009.2 mb at the LUMCON facility at Cocodrie. Maximum sustained winds at the LUMCON-Tambour Bay site were 34 knots and a peak wind of 38 knots. At the LUMCON-Cocodrie facility a wind gust of 34 knots was observed.  A maximum storm tide of 3.2 feet NAVD88 was observed at the LUMCON Cocodrie site. Storm total rainfall was less than an inch. Maximum storm total rainfall was 0.86 inches at the LSU Ag Station near Houma.||A 34 year old man was lost overboard and presumed dead when he apparently fell off of a commercial shrimp boat in rough seas about two miles south of the Southwest Pass during the evening of August 3rd.",28
134210,LOWER PLAQUEMINES (ZONE), ,08-03-2008,1600,Storm Surge/Tide, , ,0,0,0,0,LA,CST-6, ,22881,Z,69,LIX,0,0,Official NWS Observations, , , , , , , , , , , , ,Storm surge of 1 to 3 feet above normal was experienced along the southeast Louisiana coast as Tropical Storm Edouard moved across the northern Gulf of Mexico. Minimal impact was felt along the coast with only minor flooding of a few coastal roadways. Maximum storm tide was 3.2 feet recorded at the LUMCON-Cocodrie facility.,"Tropical Storm Edouard formed over the north central Gulf of Mexico on the afternoon of August 3rd. Edouard moved east northeast offshore the south Louisiana coastline before making landfall on the upper Texas Coast on Tuesday August 5th. The affect on the southeast Louisiana were minimal and confined to the coastal areas west of the Mississippi River. Tropical storm force winds, primarily in gusts, occurred along the coast. Tides were generally 1 to 3 feet above normal with a few low lying roadways having minor flooding. Lowest pressure recorded was 1009.2 mb at the LUMCON facility at Cocodrie. Maximum sustained winds at the LUMCON-Tambour Bay site were 34 knots and a peak wind of 38 knots. At the LUMCON-Cocodrie facility a wind gust of 34 knots was observed.  A maximum storm tide of 3.2 feet NAVD88 was observed at the LUMCON Cocodrie site. Storm total rainfall was less than an inch. Maximum storm total rainfall was 0.86 inches at the LSU Ag Station near Houma.||A 34 year old man was lost overboard and presumed dead when he apparently fell off of a commercial shrimp boat in rough seas about two miles south of the Southwest Pass during the evening of August 3rd.",29
134202,LOWER JEFFERSON (ZONE), ,08-03-2008,1600,Tropical Storm, , ,0,0,0,0,LA,CST-6, ,22881,Z,68,LIX,0,0,Official NWS Observations, , , , , , , , , , , , ,"Tropical Storm Edouard formed over the north central Gulf of Mexico on the afternoon of August 3rd. Edouard moved east northeast offshore the south Louisiana coastline before making landfall on the upper Texas Coast on Tuesday August 5th. The affect on the southeast Louisiana were minimal and confined to the coastal areas west of the Mississippi River. Tropical storm force winds, primarily in gusts, occurred along the coast. Tides were generally 1 to 3 feet above normal with a few low lying roadways having minor flooding. Lowest pressure recorded was 1009.2 mb at the LUMCON facility at Cocodrie. Maximum sustained winds at the LUMCON-Tambour Bay site were 34 knots and a peak wind of 38 knots. At the LUMCON-Cocodrie facility a wind gust of 34 knots was observed.  A maximum storm tide of 3.2 feet NAVD88 was observed at the LUMCON Cocodrie site. Storm total rainfall was less than an inch. Maximum storm total rainfall was 0.86 inches at the LSU Ag Station near Houma.","Tropical Storm Edouard formed over the north central Gulf of Mexico on the afternoon of August 3rd. Edouard moved east northeast offshore the south Louisiana coastline before making landfall on the upper Texas Coast on Tuesday August 5th. The affect on the southeast Louisiana were minimal and confined to the coastal areas west of the Mississippi River. Tropical storm force winds, primarily in gusts, occurred along the coast. Tides were generally 1 to 3 feet above normal with a few low lying roadways having minor flooding. Lowest pressure recorded was 1009.2 mb at the LUMCON facility at Cocodrie. Maximum sustained winds at the LUMCON-Tambour Bay site were 34 knots and a peak wind of 38 knots. At the LUMCON-Cocodrie facility a wind gust of 34 knots was observed.  A maximum storm tide of 3.2 feet NAVD88 was observed at the LUMCON Cocodrie site. Storm total rainfall was less than an inch. Maximum storm total rainfall was 0.86 inches at the LSU Ag Station near Houma.||A 34 year old man was lost overboard and presumed dead when he apparently fell off of a commercial shrimp boat in rough seas about two miles south of the Southwest Pass during the evening of August 3rd.",30
134145,ST. JAMES (ZONE), ,08/24/2008,300,Tropical Depression, , ,0,0,0,0,LA,CST-6, ,22897,Z,57,LIX,0,0,NWS Storm Survey, , , , , , , , , , , , ,,"Tropical Storm Fay weakened to a tropical depression over the panhandle of Florida and moved slowly west northwest across the Gulf Coast region, reaching the southwest Mississippi and southeast Louisiana border before moving off to the northeast. Other than a few locations seeing moderate rainfall amounts, Tropical Depression Fay had minimal impact on the area with winds remaining below tropical storm force.",31
134147,ST. JOHN THE BAPTIST (ZONE), ,08/24/2008,300,Tropical Depression, , ,0,0,0,0,LA,CST-6, ,22897,Z,58,LIX,0,0,NWS Storm Survey, , , , , , , , , , , , ,,"Tropical Storm Fay weakened to a tropical depression over the panhandle of Florida and moved slowly west northwest across the Gulf Coast region, reaching the southwest Mississippi and southeast Louisiana border before moving off to the northeast. Other than a few locations seeing moderate rainfall amounts, Tropical Depression Fay had minimal impact on the area with winds remaining below tropical storm force.",32
134149,UPPER JEFFERSON (ZONE), ,08/24/2008,300,Tropical Depression, , ,0,0,0,0,LA,CST-6, ,22897,Z,61,LIX,0,0,NWS Storm Survey, , , , , , , , , , , , ,,"Tropical Storm Fay weakened to a tropical depression over the panhandle of Florida and moved slowly west northwest across the Gulf Coast region, reaching the southwest Mississippi and southeast Louisiana border before moving off to the northeast. Other than a few locations seeing moderate rainfall amounts, Tropical Depression Fay had minimal impact on the area with winds remaining below tropical storm force.",33
134137,ST. CHARLES (ZONE), ,08/24/2008,300,Tropical Depression, , ,0,0,0,0,LA,CST-6, ,22897,Z,60,LIX,0,0,NWS Storm Survey, , , , , , , , , , , , ,,"Tropical Storm Fay weakened to a tropical depression over the panhandle of Florida and moved slowly west northwest across the Gulf Coast region, reaching the southwest Mississippi and southeast Louisiana border before moving off to the northeast. Other than a few locations seeing moderate rainfall amounts, Tropical Depression Fay had minimal impact on the area with winds remaining below tropical storm force.",34
134150,LOWER JEFFERSON (ZONE), ,08/24/2008,300,Tropical Depression, , ,0,0,0,0,LA,CST-6, ,22897,Z,68,LIX,0,0,NWS Storm Survey, , , , , , , , , , , , ,,"Tropical Storm Fay weakened to a tropical depression over the panhandle of Florida and moved slowly west northwest across the Gulf Coast region, reaching the southwest Mississippi and southeast Louisiana border before moving off to the northeast. Other than a few locations seeing moderate rainfall amounts, Tropical Depression Fay had minimal impact on the area with winds remaining below tropical storm force.",35
134151,ORLEANS (ZONE), ,08/24/2008,300,Tropical Depression, , ,0,0,0,0,LA,CST-6, ,22897,Z,62,LIX,0,0,NWS Storm Survey, , , , , , , , , , , , ,,"Tropical Storm Fay weakened to a tropical depression over the panhandle of Florida and moved slowly west northwest across the Gulf Coast region, reaching the southwest Mississippi and southeast Louisiana border before moving off to the northeast. Other than a few locations seeing moderate rainfall amounts, Tropical Depression Fay had minimal impact on the area with winds remaining below tropical storm force.",36
134152,LOWER ST. BERNARD (ZONE), ,08/24/2008,300,Tropical Depression, , ,0,0,0,0,LA,CST-6, ,22897,Z,70,LIX,0,0,NWS Storm Survey, , , , , , , , , , , , ,,"Tropical Storm Fay weakened to a tropical depression over the panhandle of Florida and moved slowly west northwest across the Gulf Coast region, reaching the southwest Mississippi and southeast Louisiana border before moving off to the northeast. Other than a few locations seeing moderate rainfall amounts, Tropical Depression Fay had minimal impact on the area with winds remaining below tropical storm force.",37
134127,ST. TAMMANY (ZONE), ,08/24/2008,300,Tropical Depression, , ,0,0,0,0,LA,CST-6, ,22897,Z,40,LIX,0,0,NWS Storm Survey, , , , , , , , , , , , ,,"Tropical Storm Fay weakened to a tropical depression over the panhandle of Florida and moved slowly west northwest across the Gulf Coast region, reaching the southwest Mississippi and southeast Louisiana border before moving off to the northeast. Other than a few locations seeing moderate rainfall amounts, Tropical Depression Fay had minimal impact on the area with winds remaining below tropical storm force.",38
134153,UPPER ST. BERNARD (ZONE), ,08/24/2008,300,Tropical Depression, , ,0,0,0,0,LA,CST-6, ,22897,Z,64,LIX,0,0,NWS Storm Survey, , , , , , , , , , , , ,,"Tropical Storm Fay weakened to a tropical depression over the panhandle of Florida and moved slowly west northwest across the Gulf Coast region, reaching the southwest Mississippi and southeast Louisiana border before moving off to the northeast. Other than a few locations seeing moderate rainfall amounts, Tropical Depression Fay had minimal impact on the area with winds remaining below tropical storm force.",39
134154,LOWER PLAQUEMINES (ZONE), ,08/24/2008,300,Tropical Depression, , ,0,0,0,0,LA,CST-6, ,22897,Z,69,LIX,0,0,NWS Storm Survey, , , , , , , , , , , , ,,"Tropical Storm Fay weakened to a tropical depression over the panhandle of Florida and moved slowly west northwest across the Gulf Coast region, reaching the southwest Mississippi and southeast Louisiana border before moving off to the northeast. Other than a few locations seeing moderate rainfall amounts, Tropical Depression Fay had minimal impact on the area with winds remaining below tropical storm force.",40
134155,UPPER PLAQUEMINES (ZONE), ,08/24/2008,300,Tropical Depression, , ,0,0,0,0,LA,CST-6, ,22897,Z,63,LIX,0,0,NWS Storm Survey, , , , , , , , , , , , ,,"Tropical Storm Fay weakened to a tropical depression over the panhandle of Florida and moved slowly west northwest across the Gulf Coast region, reaching the southwest Mississippi and southeast Louisiana border before moving off to the northeast. Other than a few locations seeing moderate rainfall amounts, Tropical Depression Fay had minimal impact on the area with winds remaining below tropical storm force.",41
